system,tier,target,term_name,term_index,true_coef_median,true_coef_ci_low,true_coef_ci_high,recovered_coef_median,recovered_coef_ci_low,recovered_coef_ci_high,abs_error_clean,rel_error_clean,zero_truth,error_display,error_type,selected_clean,active_true_clean,term_role,false_positive_count,selected_rate,active_true_rate
mueller_brown,8-bistable,a22,y^3,9,0.00060609197557,0.0003642457222677,0.0013760815252134,-0.0005657238658697,-0.5152221565191613,0.0015196227475217,0.0011718158414397001,1.9333960663934948,False,1.93,rel,False,False,inactive_unselected,0,0.0,0.1
mueller_brown,8-bistable,a22,x^4,10,-4.572647280632325e-06,-5.982572561309396e-06,-2.459384178705971e-06,0.0046585595810188,0.000110440788894,0.1152326716953226,0.004663132228299433,,True,4.7e-03,abs,False,False,inactive_unselected,0,0.0,0.0
mueller_brown,8-bistable,a22,x^3y,11,7.614653659982096e-06,3.993305268106946e-06,1.1061978220801252e-05,-0.005923573844065,-0.0099068679567309,0.0010923573764656,0.005931188497724982,,True,5.9e-03,abs,False,False,inactive_unselected,0,0.0,0.0
mueller_brown,8-bistable,a22,x^2y^2,12,-1.5726942394682413e-05,-2.669700688719953e-05,-8.530042068833517e-06,0.0440131764677466,-1.3862938453882587e-05,0.2106007013693062,0.04402890341014128,2799.584452285418,False,2800,rel,False,False,inactive_unselected,0,0.0,0.0
mueller_brown,8-bistable,a22,xy^3,13,3.717564386638849e-05,2.11002482502507e-05,7.344470141622446e-05,-0.0011782582923391,-1.0133617966311392,8.27162229611508e-05,0.0012154339362054885,32.694361409686174,False,32.7,rel,False,False,inactive_unselected,0,0.0,0.0
mueller_brown,8-bistable,a22,y^4,14,-0.0001041767809402,-0.0002375344158412,-6.362743645622043e-05,-1.359725605849272e-05,-0.0064532855371798,0.0799380359306336,9.057952488170727e-05,0.8694790150379298,False,0.869,rel,False,False,inactive_unselected,0,0.0,0.0
mueller_brown,8-bistable,b1,1,0,68.34071520806924,30.19690150667817,99.81169089142104,96.96682677185548,-13.585938925943363,462.6409393362184,28.62611156378624,0.4188734559863993,False,0.419,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b1,x,1,145.08430015033397,51.89109803657519,225.9034593062844,135.70956314048374,-7.960898571853797,735.8198056481567,9.374737009850236,0.06461579233684339,False,0.065,rel,False,True,active_missed,0,0.0,0.9
mueller_brown,8-bistable,b1,y,2,-76.78783053188559,-132.322204639872,-1.945077697518792,-170.15274558746322,-704.0459244882765,5.966235965206485,93.36491505557763,1.2158816626133033,False,1.22,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b1,x^2,3,107.44402846086908,32.00719464730236,170.60666979445443,105.20466184655352,0.0176881054591677,369.2139964830026,2.239366614315557,0.020842169140476062,False,0.021,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b1,xy,4,-103.3475781643181,-225.95576081878127,30.209673645231646,-102.76897269300736,-741.0782088852986,-0.0621861959756071,0.5786054713107376,0.005598635996973053,False,5.6e-03,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b1,y^2,5,3.0698128883495697,-45.28327990770734,37.1862716058667,52.17582854528515,0.2307000085171305,341.3399307163784,49.10601565693558,15.996419795910285,False,16.0,rel,False,True,active_missed,0,0.0,0.9
