system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec,run_status,error,traceback_tail
maier_stein,8-bistable,9603,2,WG_SINDY_FROZEN,B,16,1200,0.01,0.2111146561370384,0.2111146561370384,0.037543487556546365,0.11989253355832957,0.2624717791631779,0.029589626202090085,0.02875160127344497,,,,1.0,0.2261235516813726,drift+tensor+psd,10.829464531998383,OK,,
duffing,8-bistable,9603,2,WG_SINDY_FROZEN,B,16,1200,0.01,0.27188041576134225,0.27188041576134225,0.060240967901968166,0.16438109546243768,0.3381793529378868,0.050039858995785044,0.00991205848940903,,,,1.0,0.2840619531180485,drift+tensor+psd,9.520131187018706,OK,,
mueller_brown,8-bistable,9603,2,WG_SINDY_FROZEN,C,16,1000,0.004,3.1331151116924816,3.1331151116924816,0.049464502531795726,3.8555257715720304,2.175159221191771,0.06224477109872034,0.03192275821892527,,,,1.0,3.3911449851172017,drift+tensor+psd,22.529734170006122,OK,,
sabr,9-financial,9603,2,WG_SINDY_FROZEN,F,16,1600,0.003968253968253968,,,0.10823825482470803,,,0.10349744450919021,0.12386691879653536,0.14114467924623864,0.9986640475836623,1.0,1.0,1.41675847839218,drift+tensor+psd,22.360978687996976,OK,,
gbm_2d,9-financial,9603,2,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,1.0,1.0,0.12470480062219473,1.0,1.0,0.06480424819169237,0.11515770452691466,0.24314633185080142,0.9728745367482514,1.0,1.0,0.7261279663016191,drift+tensor+psd,8.190489699016325,OK,,
two_factor_vasicek,9-financial,9603,2,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,0.4472285467783051,0.4472285467783051,1.0,0.16729091685527112,0.609403555662243,1.0,1.0,1.0,,0.0,1.0,0.3938604255549024,drift+tensor+psd,13.103889374004211,OK,,
near_singular,4,9604,3,WG_SINDY_FROZEN,A,16,1200,0.01,0.7371966770973916,0.7371966770973916,0.19560899736688275,0.32965966957389853,1.0214411621480766,0.15397390698811508,0.24557226220529682,0.19440024694023994,0.9843411162942649,1.0,1.0,0.7643455395255884,drift+tensor+psd,22.341249049990438,OK,,
underdamped_langevin,6,9604,3,WG_SINDY_FROZEN,B,16,1200,0.01,0.20365324394295067,0.20365324394295067,0.5543744008194781,0.14295593122780167,0.22806363923247397,,0.5541592741300435,,,,1.0,0.22730257259889458,drift+tensor+psd,7.148921637999592,OK,,
near_boundary_heston,6,9604,3,WG_SINDY_FROZEN,D,16,1200,0.01,2.4197708993669234,2.4197708993669234,0.48783319265366976,5.51406023568869,1.4008831041579222,0.5011424998875951,0.35804480178872944,0.4017618355873293,0.9352058056406709,0.9230769230769231,1.0,2.914952658129601,drift+tensor+psd,7.075114516017493,OK,,
nonpoly_drift,6,9604,3,WG_SINDY_FROZEN,G,16,1200,0.01,0.38010691162571564,0.38010691162571564,0.014056820312613301,0.4660958272528314,0.21278037309296974,0.007463622064710698,0.018425057402281262,,,,1.0,0.3209347456374469,drift+tensor+psd,23.768468956986908,OK,,
bad_coverage,6,9604,3,WG_SINDY_FROZEN,A,16,1200,0.01,0.9959325167142523,0.9959325167142523,0.7859069859157399,0.9702287332433776,1.048751173077448,0.7301076880835863,0.8364125511648821,,,,1.0,1.0567936006744687,drift+tensor+psd,5.6470812739862595,OK,,
too_large_dt,6,9604,3,WG_SINDY_FROZEN,A,16,600,0.05,0.17799049472797374,0.17799049472797374,0.36661551654792823,0.18740899410156472,0.1628178422896263,0.3301145272497929,0.33987966888778515,,,,1.0,0.2505502434417619,drift+tensor+psd,6.159910863003461,OK,,
