system,tier,target,term_name,term_index,true_coef_median,true_coef_ci_low,true_coef_ci_high,recovered_coef_median,recovered_coef_ci_low,recovered_coef_ci_high,rel_error_median,target_in_scope_rate,raw_selected_rate,selected_rate,active_true_rate,selected,raw_false_positive_count,paper_seed_false_positive_count,stable_false_positive,false_positive_count
nondiag_cholesky,4,a22,x^2y,7,1.0483412960121534e-11,-1.167870680454764e-11,2.863474364974441e-11,-0.001437192266386531,-0.0021274468012249326,0.0008249373999881756,137092021.68577766,1.0,0.3,0.0,0.0,False,3,0,False,0
nondiag_cholesky,4,a22,x^2y^2,12,0.03999999944679624,0.039999999334817765,0.0399999994968416,0.04130052945727691,0.03201632781046618,0.0548568413168387,0.03251325071167814,1.0,1.0,0.6,1.0,True,0,0,False,0
nondiag_cholesky,4,a22,x^3,6,1.233772965680675e-14,-3.445060621508896e-12,5.895524661509555e-12,2.407289108076123e-12,-0.00018113535068944614,3.548720275337424e-06,2.394951378419316,1.0,0.1,0.0,0.0,False,1,0,False,0
nondiag_cholesky,4,a22,x^3y,11,-1.0985321547899426e-13,-3.7723423806838776e-13,2.417587403566839e-13,3.9488308790334223e-13,-0.002122337346396386,2.7272141331274028e-05,0.5047363033823365,1.0,0.3,0.0,0.0,False,3,0,False,0
nondiag_cholesky,4,a22,x^4,10,-6.730131939774045e-11,-6.836625286799783e-11,-5.7131934362191894e-11,0.0002978297406232594,-7.627374272766639e-11,0.001352954611021643,4425319.006964046,1.0,0.1,0.0,0.0,False,1,0,False,0
nondiag_cholesky,4,a22,xy,4,1.5550391807933712e-13,-3.6567418243526095e-13,5.631036300793832e-13,-1.4341675880061911e-05,-0.0010776818357236238,0.00016374952572733976,14341676.035565829,1.0,0.1,0.0,0.0,False,1,0,False,0
nondiag_cholesky,4,a22,xy^2,8,3.994219528662178e-13,-4.131006912444985e-11,6.434186858296226e-11,-0.0019642416781238785,-0.002955210483173551,-0.0003666879610708297,1964241678.5233004,1.0,0.2,0.0,0.0,False,2,0,False,0
nondiag_cholesky,4,a22,xy^3,13,9.97753487983014e-13,-2.0581712351369896e-12,1.9218919481512145e-12,-4.417160658590831e-12,-3.667024184050295e-11,0.0001404126285066342,5.414914146573846,1.0,0.3,0.0,0.0,False,3,0,False,0
nondiag_cholesky,4,a22,y,2,3.693149606002831e-12,-1.943638288949606e-12,7.46851024146396e-12,5.0356359342762317e-05,-1.3292243757785913e-06,0.0005642985694022256,13635070.609585837,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,a22,y^2,5,0.07999999968755281,0.07999999964348788,0.07999999969719128,4.409401041562855e-05,7.694398040507872e-06,0.00041973751044995964,0.9994488248676519,1.0,0.2,0.1,1.0,False,0,0,False,0
nondiag_cholesky,4,a22,y^3,9,-3.4784475682728544e-11,-7.854855590443463e-11,3.040067647089333e-11,5.467508267762726e-12,-0.0012276501234688075,2.2326252309687927e-11,1.1571824257933976,1.0,0.1,0.0,0.0,False,1,0,False,0
nondiag_cholesky,4,a22,y^4,14,0.01000000116768814,0.01000000108214258,0.01000000126988877,-1.7291909825509469e-10,-1.9592201810959142e-10,0.0035717298612311437,1.0000000172919077,1.0,0.2,0.0,1.0,False,0,0,False,0
nondiag_cholesky,4,b1,1,0,4.798926688076878e-14,-7.701509701500547e-12,1.3842927791554461e-11,0.029879583189127056,-0.009171948491295233,0.038347108227375394,29879583189.079067,1.0,0.4,0.0,0.0,False,4,0,False,0
nondiag_cholesky,4,b1,x,1,-0.9999999996035551,-0.9999999996113389,-0.9999999995659039,-1.1093160942558677,-1.3934386460868993,-0.9964172883808885,0.10931609469565043,1.0,1.0,1.0,1.0,True,0,0,False,0
nondiag_cholesky,4,b1,x^2,3,-8.259313360305228e-13,-2.662944428101281e-10,1.4527141766732324e-10,-3.177337577099776e-10,-0.04644927269880172,2.364448620708651e-10,316.9078263739471,1.0,0.2,0.0,0.0,False,2,0,False,0
nondiag_cholesky,4,b1,x^2y,7,2.9144515285196855e-12,-6.478927116356743e-12,1.010635957492012e-11,5.73183075083478e-12,-4.6309491419070193e-11,3.469275724320783e-11,0.9666927704047642,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b1,x^2y^2,12,1.0333639346623947e-12,-1.4736300949084962e-10,2.5244746026001425e-10,-1.3941422264267806e-10,-1.7681513478443549e-09,1.7722844744478541e-10,135.9129943152365,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b1,x^3,6,-7.562345144596441e-10,-8.987939868725537e-10,-7.279285035446984e-10,0.1713102541055012,-8.547170653153099e-10,0.8990109851686351,226530595.45178634,1.0,0.5,0.5,0.0,True,5,5,False,0
nondiag_cholesky,4,b1,x^3y,11,5.4040514232515644e-11,-4.850038071216182e-11,1.5537318994865462e-10,6.743807438245801e-11,5.4094915809450685e-12,1.7192066015566607e-10,0.2479169626754067,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b1,x^4,10,1.2891122760897346e-12,-3.1407522703978763e-10,5.968096159486414e-10,-1.458276212273226e-11,-8.007538891541326e-10,1.0514359383904254e-09,12.312251378883897,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b1,xy,4,-3.67301609827972e-11,-9.477191779425263e-11,2.9991014588183404e-11,-5.1660256636127067e-11,-1.8359098712247026e-10,0.019079547009823592,0.4064805395305094,1.0,0.2,0.0,0.0,False,2,0,False,0
nondiag_cholesky,4,b1,xy^2,8,-4.897213871773455e-10,-5.534030168766345e-10,-4.747566336441163e-10,-4.681684191676529e-10,-5.545519476217101e-10,2.0757004307141393,0.04401067336250009,1.0,0.3,0.3,0.0,False,3,3,False,0
nondiag_cholesky,4,b1,xy^3,13,8.855638065824897e-11,-8.617731181188078e-11,2.2031360492311968e-10,1.0063990451565052e-10,-3.3880906119419666e-09,3.206517334496995e-10,0.13645006455303882,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b1,y,2,-6.472459617423152e-13,-2.048487285146005e-12,1.3862577869236396e-12,-1.5159208341494265e-12,-0.007824273789808439,1.0422408123780945e-11,0.8686748724071114,1.0,0.1,0.1,0.0,False,1,1,False,0
nondiag_cholesky,4,b1,y^2,5,-7.950038041008799e-14,-2.954368601203625e-11,1.8118773160589032e-11,5.1016415525792765e-12,-0.06618043689176036,2.6543469175893616e-11,5.181141932989364,1.0,0.4,0.1,0.0,False,4,1,False,0
nondiag_cholesky,4,b1,y^3,9,1.1497958347795046e-12,-2.4152058788880536e-12,2.897938081665821e-12,3.9790059671587585e-12,-1.5429896652486396e-14,2.1805279407808392e-10,2.460619569840248,1.0,0.1,0.1,0.0,False,1,1,False,0
nondiag_cholesky,4,b1,y^4,14,1.976838360890852e-14,-4.9283722301953353e-14,6.178219001235641e-14,-3.8777430733680204e-11,-5.632294156184335e-09,2.879089129374886e-12,38.79719911728912,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b2,1,0,6.187231658745902e-12,-4.496080312600859e-12,1.4011324655300201e-11,0.006364862515041878,-0.012327287042133733,0.035799703150464435,1028709261.2505718,1.0,0.4,0.0,0.0,False,4,0,False,0
nondiag_cholesky,4,b2,x,1,-6.470332982830785e-13,-2.047147126452876e-12,1.385059445112145e-12,-3.0891358888400406e-12,-0.006246820564626063,0.0014112365448950104,2.442102590556962,1.0,0.1,0.0,0.0,False,1,0,False,0
nondiag_cholesky,4,b2,x^2,3,-7.418204550963936e-12,-1.9512434670373003e-11,6.180766884111858e-12,-3.21228929397805e-12,-2.6039366550179417e-11,2.904770240971415e-10,0.5669721329589599,1.0,0.2,0.2,0.0,False,2,2,False,0
nondiag_cholesky,4,b2,x^2y,7,-4.875519632912113e-10,-5.530782197910609e-10,-4.787408169438087e-10,-5.056716535360598e-10,-5.477046561333165e-10,0.48504812091480126,0.037164633944927215,1.0,0.2,0.2,0.0,False,2,2,False,0
nondiag_cholesky,4,b2,x^2y^2,12,9.260559803143106e-11,-9.081401249961607e-11,2.3271760528305333e-10,-6.530411385624051e-12,-7.068431386512347e-10,3.0644353555529033e-10,1.0705185380197813,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b2,x^3,6,6.840139362980057e-13,-1.5203128721718829e-12,2.372820247403833e-12,1.7387872438510652e-12,-1.687557484542452e-11,1.8520506070070947e-11,1.0547733075530596,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b2,x^3y,11,1.1143662019213112e-12,-1.4001062886621678e-10,2.3824761482329913e-10,5.1658714673843894e-11,-1.3797749401505178e-10,3.7532994719804414e-10,45.357036479370606,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b2,x^4,10,-4.562101965335687e-17,-1.5894115379776322e-15,1.799706341501374e-15,-1.2686776065772788e-13,-2.7264165978882734e-11,3.21511616166019e-11,0.12682213963807454,1.0,0.1,0.1,0.0,False,1,1,False,0
nondiag_cholesky,4,b2,xy,4,-7.043599506632692e-13,-1.433704853471184e-10,8.814374468067008e-11,-1.6333707910666592e-10,-0.05875409767779033,1.518749215387083e-10,162.63271915600265,1.0,0.3,0.1,0.0,False,3,1,False,0
nondiag_cholesky,4,b2,xy^2,8,4.897025827733373e-12,-1.0253965522566471e-11,1.2310847097121693e-11,-1.2579795990852376e-11,-5.144437235589801e-11,3.778831683765289e-11,3.5688645380649406,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b2,xy^3,13,2.4110102007377186e-12,-2.4775084393633237e-10,3.6355781925330457e-10,-3.3351931547838414e-10,-5.905833497809734e-10,2.2930440280923081e-10,139.33177287111195,1.0,0.0,0.0,0.0,False,0,0,False,0
nondiag_cholesky,4,b2,y,2,-0.9999999993552233,-0.9999999993839146,-0.9999999993299769,-1.1142453478748928,-1.255104835987369,-0.9819387161178335,0.11424534859333224,1.0,1.0,1.0,1.0,True,0,0,False,0
nondiag_cholesky,4,b2,y^2,5,-1.7623349008088809e-10,-4.0996491511769743e-10,1.5482276471266103e-10,1.0235401818934575e-12,-0.02472489830689294,0.028606539624890667,1.005807864222763,1.0,0.4,0.2,0.0,False,4,2,False,0
nondiag_cholesky,4,b2,y^3,9,-1.960542712841099e-09,-2.189234181548919e-09,-1.8479824121575751e-09,-1.9117596809842496e-09,-2.3219178272867374e-09,1.3571073374835052,0.02488241216951393,1.0,0.4,0.4,0.0,False,4,4,False,0
nondiag_cholesky,4,b2,y^4,14,5.711626756686064e-10,-6.090268512747446e-10,1.28191700125914e-09,1.3264527944627917e-09,-5.740870519373294e-10,9.699748191013808e-09,1.3223730313085291,1.0,0.1,0.1,0.0,False,1,1,False,0
nongradient_circulation,3,a11,1,0,0.4899999999023824,0.489999999900873,0.48999999990366566,0.4930438680236624,0.4885576385602086,0.49748470861517824,0.006211975758951815,1.0,1.0,1.0,1.0,True,0,0,False,0
nongradient_circulation,3,a11,x,1,-5.04973339691473e-12,-6.178238369124491e-12,-1.229389393364029e-12,-4.42425725854586e-12,-6.4229610858520916e-12,3.6234673423277913e-07,0.12386320013468859,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a11,x^2,3,4.681909496474255e-11,4.6432243739892104e-11,4.75152132928498e-11,4.7862184639207525e-11,4.618938044950809e-11,3.688170820998147e-06,0.02227915074502144,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a11,x^2y,7,3.899312537309772e-12,2.293824414196532e-12,8.722947864177458e-12,4.899344649167083e-12,-2.7785516812958706e-12,3.995492210078799e-07,0.2564636977130478,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a11,x^3,6,3.9779933724697616e-12,9.596501046090036e-13,4.952397055600238e-12,4.462130097797056e-12,2.269780904326496e-12,5.169482543085848e-12,0.12170375362559113,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a11,xy,4,1.3224986323758347e-13,-1.236274148046804e-13,5.889429326148018e-13,-7.264559358589745e-14,-2.7100718183107065e-07,1.6221894234484432e-07,0.20489545682348093,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a11,xy^2,8,3.968983915156397e-12,1.0026720153694142e-12,5.067994091795693e-12,3.5359127676218e-12,-5.73845970237845e-06,5.361613075464906e-12,0.10911385805339856,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a11,y,2,-1.1961728500953002e-11,-2.6087479200881228e-11,-6.868403631021538e-12,-2.7370651654698365e-11,-2.5481481424549454e-06,1.222777579863036e-07,1.2881853281085354,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a11,y^2,5,1.170029442602843e-10,1.1409701425600627e-10,1.23401145072961e-10,2.204569418777533e-06,1.2300915541201733e-10,1.545725691468449e-05,18840.99951304863,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a11,y^3,9,2.3084249046944622e-11,1.486634821748444e-11,5.053531064150362e-11,2.990285152891526e-08,3.493815163624678e-11,8.02627212743763e-06,1294.3790035839668,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a12,1,0,0.0,0.0,0.0,0.0,-8.332260296441174e-06,3.179830609749427e-05,0.0,1.0,0.2,0.0,0.0,False,2,0,False,0
nongradient_circulation,3,a12,x,1,0.0,0.0,0.0,0.0,-5.952274489583095e-15,0.00040719738635335397,0.0,1.0,0.2,0.1,0.0,False,2,1,False,0
nongradient_circulation,3,a12,x^2,3,0.0,0.0,0.0,0.0,-1.2186820295755052e-13,1.4209990424660472e-14,0.0,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a12,x^2y,7,0.0,0.0,0.0,0.0,-1.2641964130059487e-13,9.997917352975436e-15,0.0,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a12,x^3,6,0.0,0.0,0.0,0.0,-1.1189710446268236e-14,1.2490689344280592e-13,0.0,1.0,0.1,0.0,0.0,False,1,0,False,0
nongradient_circulation,3,a12,xy,4,0.0,0.0,0.0,0.0,-1.3129728735419989e-15,3.4991410004058446e-05,0.0,1.0,0.3,0.1,0.0,False,3,1,False,0
nongradient_circulation,3,a12,xy^2,8,0.0,0.0,0.0,0.0,-8.612017479310247e-13,1.1698580952085932e-12,0.0,1.0,0.2,0.2,0.0,False,2,2,False,0
nongradient_circulation,3,a12,y,2,0.0,0.0,0.0,0.0,-0.00038044669069738237,3.2501188646366736e-05,0.0,1.0,0.3,0.1,0.0,False,3,1,False,0
nongradient_circulation,3,a12,y^2,5,0.0,0.0,0.0,0.0,-0.0006136700713986485,0.0007563448143953035,0.0,1.0,0.5,0.2,0.0,False,5,2,False,0
nongradient_circulation,3,a12,y^3,9,0.0,0.0,0.0,0.0,-0.010682556059435907,0.005729774317694536,0.0,1.0,0.5,0.5,0.0,True,5,5,False,0
nongradient_circulation,3,a22,1,0,0.4899999999023824,0.489999999900873,0.48999999990366566,0.4845549817789638,0.481198117483799,0.4898296209463067,0.011112281886741605,1.0,1.0,1.0,1.0,True,0,0,False,0
nongradient_circulation,3,a22,x,1,-5.04973339691473e-12,-6.178238369124491e-12,-1.229389393364029e-12,-4.4225330630812954e-12,-6.301252896349011e-12,1.4131640861066416e-05,0.12420464300484452,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a22,x^2,3,4.681909496474255e-11,4.6432243739892104e-11,4.75152132928498e-11,4.741040134611519e-11,4.665350539795912e-11,0.00014383679108817503,0.012629598710054712,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a22,x^2y,7,3.899312537309772e-12,2.293824414196532e-12,8.722947864177458e-12,4.98597507927466e-12,-2.604297794047141e-12,1.5582104358913466e-05,0.2786805447286876,1.0,0.0,0.0,0.0,False,0,0,False,0
nongradient_circulation,3,a22,x^3,6,3.9779933724697616e-12,9.596501046090036e-13,4.952397055600238e-12,4.341575242749648e-12,2.3874431727813328e-12,5.071537508888881e-12,0.09139830970964004,1.0,0.0,0.0,0.0,False,0,0,False,0
