system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec
correlated_ou,1,9103,2,WG_SINDY_FROZEN,A,16,1600,0.01,0.07868630020489521,0.07868630020489521,0.06529854895590548,0.0932698764989402,0.06096391962735954,0.010724313719341187,0.04204931953315424,0.12444282313408224,0.9939230611558438,1.0,1.0,0.07676538859913588,drift+tensor+psd,14.465541079000104
rotational_ou,2,9103,2,WG_SINDY_FROZEN,A,16,1600,0.01,0.038149606734593784,0.038149606734593784,0.057011451697768625,0.03337055003812715,0.042337590403251316,0.03742963195151624,0.052051552653760755,,,,1.0,0.041280586272507594,drift+tensor+psd,13.958149301004596
coupled_ou,1,9103,2,WG_SINDY_FROZEN,A,16,1600,0.01,0.08293530976226428,0.08293530976226428,0.050824227931451096,0.07578234852126488,0.09010146430452423,0.032340220490959824,0.020016152124048954,,,,1.0,0.0826428923142557,drift+tensor+psd,14.592312464024872
spiral_sink_corr,2,9103,2,WG_SINDY_FROZEN,A,16,1600,0.01,0.05010423970068211,0.05010423970068211,0.047689357589145866,0.06382360451562069,0.035633430206519004,0.028545059082755845,0.040216374868391386,0.08761235634218739,1.0000000000000002,1.0,1.0,0.0497009281779978,drift+tensor+psd,11.470990172005259
cir_pair,5,9102,1,WG_SINDY_FROZEN,F,16,2600,0.003968253968253968,0.8705075457830205,0.8705075457830205,0.2167105649579118,1.2122289527029866,0.1282735274376039,0.03956807366864316,0.20807227984350898,0.35405996997781464,0.9709869115773849,1.0,1.0,0.7562007363737453,tensor+leverage+CIR_pair_drift,24.553116723021958
double_well_transverse,3,9103,2,WG_SINDY_FROZEN,B,16,1600,0.01,0.11750050354207622,0.11750050354207622,0.03421687876805141,0.10910990540384025,0.1226448594633088,0.012305551780772708,0.02073632766128435,,,,1.0,0.11269345197544949,drift+tensor+psd,18.1125111389847
heston_sv,5,9102,1,WG_SINDY_FROZEN,E,16,2600,0.003968253968253968,0.00639400905367263,0.3288612530638778,0.10343454658881042,0.32887615720685676,0.00639400905367263,0.09953988387521953,11750.550706101409,0.15413850638951807,0.9907698858971888,1.0,1.0,1407.4393633014865,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,46.89234038698487
gradient_potential,3,9103,2,WG_SINDY_FROZEN,B,16,1600,0.01,0.23870080882720274,0.23870080882720274,0.032676329683408396,0.3199125893976296,0.1489676822245869,0.0017154102836164054,0.012432296041837045,,,,1.0,0.22520397225648514,drift+tensor+psd,18.712420021998696
nongradient_circulation,3,9103,2,WG_SINDY_FROZEN,B,16,1600,0.01,0.2190089689503873,0.2190089689503873,0.0020912586394999356,0.15908132519020418,0.26540339200069224,0.00294359457423682,0.00028631517090402296,,,,1.0,0.24164944526316087,drift+tensor+psd,20.159510522993514
diag_multiplicative,4,9103,2,WG_SINDY_FROZEN,A,16,1600,0.01,0.07597149527803461,0.07597149527803461,0.16877893365918442,0.09055818239647222,0.05431215502305797,0.1976196216014068,0.1143239974733359,,,,1.0,0.10352502828068584,drift+tensor+psd,18.63494697099668
nondiag_cholesky,4,9103,2,WG_SINDY_FROZEN,C,16,1600,0.01,0.07148181427129637,0.07148181427129637,0.0775137699418047,0.08628463438524145,0.038456612369934015,0.019415786198387623,0.1347510774365884,0.31168996450183695,0.9853736254805165,1.0,1.0,0.08057664228346081,drift+tensor+psd,20.001093998987926
heston_logsv,5,9103,2,WG_SINDY_FROZEN,D,16,2600,0.003968253968253968,0.14013247855142366,0.8295864487274542,0.0393290128311174,2.3061808775416504,0.14013247855142366,0.03004039464708538,0.2841693219719745,0.039791351230853755,0.9992524811199818,1.0,1.0,0.7418118428242942,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,17.903558273013914
indep_ou,1,9104,3,WG_SINDY_FROZEN,A,16,1600,0.01,0.22265007623340918,0.22265007623340918,0.028584319600830597,0.30414605368888886,0.059634081408532776,0.031227791171330566,0.012591239761108364,,,,1.0,0.1950614848463323,drift+tensor+psd,12.781562889984343
