system,tier,seed,target,term_name,term_index,coef_true,coef_hat,rel_error,target_in_scope,term_in_paper_scope,active_true,raw_selected,selected,false_positive
diag_multiplicative,4,9109,b1,x^2,3,-1.4682829271456197e-11,-1.9578707365040994e-11,0.3334424178794009,True,True,False,False,False,False
diag_multiplicative,4,9109,b1,xy,4,1.1036061820451677e-11,1.1260644349247424e-11,0.020349879553914655,True,True,False,False,False,False
diag_multiplicative,4,9109,b1,y^2,5,-3.1468088882499773e-15,-5.620411008592916e-12,5.617264199704666,True,True,False,False,False,False
diag_multiplicative,4,9109,b2,1,0,-7.264235115635192e-12,-0.03718332076955083,5118683546.221541,True,True,False,True,False,False
diag_multiplicative,4,9109,b2,x,1,-2.872312003593353e-13,-0.19531904048373494,195319040483.4477,True,True,False,True,False,False
diag_multiplicative,4,9109,b2,y,2,-0.9999999998785375,-1.0884757723687097,0.08847577250091873,True,True,True,True,True,False
diag_multiplicative,4,9109,b2,x^2,3,9.223077164531721e-18,-7.400458995660043e-12,7.400468218737209,True,True,False,False,False,False
diag_multiplicative,4,9109,b2,xy,4,-7.125156921816682e-12,0.3111370383241782,43667394521.322845,True,True,False,True,True,True
diag_multiplicative,4,9109,b2,y^2,5,3.439330853278077e-11,3.1878285619321036e-11,0.07312535550520327,True,True,False,False,False,False
diag_multiplicative,4,9109,a11,1,0,0.49999999995363453,0.6188779923117775,0.23775598473833334,True,True,True,True,True,False
diag_multiplicative,4,9109,a11,x,1,-4.451812083834439e-13,-2.368351422096212e-12,1.9231702137127682,True,True,False,False,False,False
diag_multiplicative,4,9109,a11,y,2,1.9283858364813923e-13,4.495516779766196e-12,4.302678196118056,True,True,False,False,False,False
diag_multiplicative,4,9109,a11,x^2,3,0.10000000003274329,7.543770859058335e-11,0.9999999992456229,True,True,True,False,False,False
diag_multiplicative,4,9109,a11,xy,4,1.4357529976538125e-13,1.776237482556391e-13,0.034048448490257864,True,True,False,False,False,False
diag_multiplicative,4,9109,a11,y^2,5,0.10000000003206365,9.248784175515454e-11,0.9999999990751216,True,True,True,False,False,False
diag_multiplicative,4,9109,a22,1,0,0.3999999999683341,0.5203049124238199,0.30076228116252446,True,True,True,True,True,False
diag_multiplicative,4,9109,a22,x,1,-6.264527010173059e-14,-1.9910509229075483e-12,1.9284056528058178,True,True,False,False,False,False
diag_multiplicative,4,9109,a22,y,2,-5.336831491103928e-13,3.779552815957589e-12,4.313235965067982,True,True,False,False,False,False
diag_multiplicative,4,9109,a22,x^2,3,0.10000000002055495,6.342329073623815e-11,0.9999999993657671,True,True,True,False,False,False
diag_multiplicative,4,9109,a22,xy,4,1.1484512542757622e-13,1.493465907080277e-13,0.03450146528045148,True,True,False,False,False,False
diag_multiplicative,4,9109,a22,y^2,5,0.10000000001711808,7.775768090861096e-11,0.9999999992224232,True,True,True,False,False,False
diag_multiplicative,4,9109,a12,1,0,0.0,0.0,0.0,True,True,False,False,False,False
diag_multiplicative,4,9109,a12,x,1,0.0,0.0,0.0,True,True,False,False,False,False
diag_multiplicative,4,9109,a12,y,2,0.0,0.0,0.0,True,True,False,False,False,False
diag_multiplicative,4,9109,a12,x^2,3,0.0,0.0,0.0,True,True,False,False,False,False
diag_multiplicative,4,9109,a12,xy,4,0.0,0.0,0.0,True,True,False,False,False,False
diag_multiplicative,4,9109,a12,y^2,5,0.0,0.0,0.0,True,True,False,False,False,False
nongradient_circulation,3,9109,b1,1,0,-7.575751383817208e-12,-0.1205168940590823,15908243017.180624,True,True,False,True,False,False
nongradient_circulation,3,9109,b1,x,1,0.9999999989612868,0.8289130880025695,0.17108691113642754,True,True,True,True,True,False
nongradient_circulation,3,9109,b1,y,2,-0.9999999987847468,-1.3976153671718674,0.397615368870324,True,True,True,True,True,False
nongradient_circulation,3,9109,b1,x^2,3,3.485404324746264e-11,0.09560289343817628,2742949870.2501926,True,True,False,True,False,False
nongradient_circulation,3,9109,b1,xy,4,2.7746557428028315e-11,-0.21753323051297438,7840007939.903158,True,True,False,True,False,False
nongradient_circulation,3,9109,b1,y^2,5,-5.313780641716566e-11,-1.2415237707219969e-10,1.3364226987001375,True,True,False,False,False,False
nongradient_circulation,3,9109,b1,x^3,6,-0.999999999458981,-0.8820342029407392,0.11796579658206353,True,True,True,True,True,False
nongradient_circulation,3,9109,b1,x^2y,7,-0.5000000000988107,-0.4291082945653639,0.14178341103887418,True,True,True,True,True,False
nongradient_circulation,3,9109,b1,xy^2,8,-0.49999999921414895,2.5967772085729666e-10,1.0000000005193554,True,True,True,False,False,False
nongradient_circulation,3,9109,b1,y^3,9,-1.716377772420955e-09,-2.4029624013991083e-09,0.40001952950586395,True,True,False,False,False,False
