system,seed,linear_spectral_gap_hat,linear_spectral_gap_true,current_cosine,irreversibility_scalar
correlated_ou,9106,0.9400768673865211,1.0,,0.0
rotational_ou,9106,0.9203041476447589,1.0,1.0000000000000002,2.6955433816010927
coupled_ou,9106,0.513797065794404,0.4999999999999999,,0.0005832066788919931
spiral_sink_corr,9106,0.9231879500930997,1.0,0.9553574952751648,2.0509046593714357
cir_pair,9105,2.6998644224288504,,,3.3842691676902126
double_well_transverse,9106,1.1106068942198017,,,0.7287729330098957
gradient_potential,9106,1.3285593978177839,,,0.0
diag_multiplicative,9106,0.8208618004739471,,,0.0
nondiag_cholesky,9106,0.8506399874807686,,,0.0
nongradient_circulation,9106,1.5909542096427942,,0.7576883809370485,0.02173888785560504
heston_sv,9105,1.1316450012084593,,,381.2115813845334
heston_logsv,9106,0.06899386763267208,,,0.07578487121591357
indep_ou,9107,0.9588951931925268,1.0,,0.0
correlated_ou,9107,0.9513228719111728,1.0,,0.013258328254430544
heston_sv,9106,,,,0.0
coupled_ou,9107,0.4590427973340658,0.4999999999999999,,0.010817763840855414
rotational_ou,9107,0.97008110560865,1.0,1.0000000000000002,2.815037807228151
spiral_sink_corr,9107,0.9552968758005065,1.0,0.9549692227889763,2.109780209325376
cir_pair,9106,1.0712273010615332,,,0.0
double_well_transverse,9107,0.8683703886196122,,,0.6807664446354373
gradient_potential,9107,1.4524180013788992,,,0.002934904985269084
heston_logsv,9107,0.0753555050391288,,,1.909162339876541
diag_multiplicative,9107,0.9718579942526393,,,0.013071227919236476
nondiag_cholesky,9107,1.175083974597175,,,0.008706303091696059
nongradient_circulation,9107,1.5536179169183169,,0.7494636165169497,0.15296096392734146
indep_ou,9108,1.0498267807167383,1.0,,0.0510727655469355
cir_pair,9107,2.1376730193482327,,,0.0
correlated_ou,9108,1.0893778494753228,1.0,,0.04195804569877757
coupled_ou,9108,0.5341636537966157,0.4999999999999999,,0.042721198722006595
rotational_ou,9108,0.9467520502286464,1.0,0.9999999999999999,2.827392370285051
spiral_sink_corr,9108,0.9540603731912347,1.0,0.9549647823339233,2.1391452914604563
double_well_transverse,9108,1.093518967405105,,,0.8454485411279987
gradient_potential,9108,1.390516210761278,,,0.0009904921815762375
heston_sv,9107,2.260887663776249,,,0.0010176310325308781
diag_multiplicative,9108,0.9871730772486974,,,0.032297205268650944
heston_logsv,9108,1.8843214642675459,,,0.029926264954076312
nongradient_circulation,9108,1.8898656205406545,,0.7496865980725816,0.19471972534989698
nondiag_cholesky,9108,1.08542819074729,,,0.009089791742713724
indep_ou,9109,1.026573363241092,1.0,,0.11347245342894996
cir_pair,9108,1.3488467628458412,,,0.7495554163159492
correlated_ou,9109,1.0973999072686689,1.0,,0.0
coupled_ou,9109,0.5551627723210815,0.4999999999999999,,0.07096727094674218
rotational_ou,9109,1.085897068501342,1.0,0.9999999999999998,2.8043983246269035
spiral_sink_corr,9109,1.0392777779035138,1.0,0.9550582139472329,2.0797278605864635
double_well_transverse,9109,0.6711789109135118,,,0.9917256648763034
heston_sv,9108,4.181980599969858,,,0.0
gradient_potential,9109,1.2409375744413338,,,0.004755949616632654
diag_multiplicative,9109,1.0213489651081862,,,0.1381114180318248
nongradient_circulation,9109,1.8374769063613687,,0.7493877586988789,0.5668873273125495
nondiag_cholesky,9109,1.348628294281928,,,0.11895129179209873
heston_logsv,9109,1.9619936799334468,,,1.6200374748998527
indep_ou,9110,1.0264880377033692,1.0,,0.0
cir_pair,9109,2.1745180113597105,,,0.4308054026026212
correlated_ou,9110,0.9805972477310833,1.0,,0.0
