system,seed,stat,true_value,recovered_value,abs_error
diag_multiplicative,9102,var_y,0.19719758120446174,0.12202780212690999,0.07516977907755175
diag_multiplicative,9102,cov_xy,0.011697186215144578,0.0240173134671622,0.012320127252017622
diag_multiplicative,9102,acf_y_lag1,0.9882956642909744,0.9788428765480629,0.009452787742911473
diag_multiplicative,9102,crosscorr_lag1,0.04948969840638442,0.14449927285294045,0.09500957444655603
gradient_potential,9102,mean_x,-0.1753579501415535,-0.18972011769361713,0.014362167552063626
gradient_potential,9102,var_x,0.6791248306890229,0.5758611577370598,0.10326367295196304
gradient_potential,9102,acf_x_lag1,0.9955455714909508,0.9958789037205564,0.0003333322296056318
gradient_potential,9102,mean_y,0.02115657013700806,0.40802211527372895,0.3868655451367209
gradient_potential,9102,var_y,0.19612882820751373,0.09793743973299643,0.0981913884745173
gradient_potential,9102,cov_xy,-0.0028626807972586725,0.06486862390149992,0.06773130469875858
gradient_potential,9102,acf_y_lag1,0.9871400203350027,0.9735742238203502,0.013565796514652506
gradient_potential,9102,crosscorr_lag1,-0.008225641499036217,0.269489706078651,0.27771534757768723
heston_sv,9101,mean_x,116.5355495952477,100.99862487765523,15.53692471759247
heston_sv,9101,var_x,1535.2284517499784,6.056914307589468,1529.1715374423889
heston_sv,9101,acf_x_lag1,0.9987529161844125,0.9856515842105098,0.01310133197390273
heston_sv,9101,mean_y,0.04073800536212157,-0.0740172039974387,0.11475520935956027
heston_sv,9101,var_y,0.0008191659234171433,0.003547569951539865,0.002728404028122722
heston_sv,9101,cov_xy,-0.24052848499757065,-0.01734129590322217,0.22318718909434848
heston_sv,9101,acf_y_lag1,0.9909061757165712,0.7512260051544045,0.23968017056216673
heston_sv,9101,crosscorr_lag1,-0.21157343207640866,-0.1318794491182301,0.07969398295817856
nongradient_circulation,9102,mean_x,-0.11347223201035657,-1.0325389433474457,0.9190667113370891
nongradient_circulation,9102,var_x,0.7458842886911706,0.07050721452003371,0.6753770741711369
nongradient_circulation,9102,acf_x_lag1,0.9961452074478883,0.9648262722685651,0.03131893517932316
nongradient_circulation,9102,mean_y,-0.014311315121106248,0.1786343898125383,0.19294570493364455
nongradient_circulation,9102,var_y,0.1794286827738002,0.10147958798456452,0.07794909478923567
nongradient_circulation,9102,cov_xy,-0.023279523354729735,0.023377729672910234,0.04665725302763997
nongradient_circulation,9102,acf_y_lag1,0.9858153247919649,0.9759531393156039,0.009862185476360974
nongradient_circulation,9102,crosscorr_lag1,-0.05740291301967466,0.2964599859394489,0.35386289895912354
nondiag_cholesky,9102,mean_x,-0.0085843331892857,-0.09040162120032832,0.08181728801104263
nondiag_cholesky,9102,var_x,0.13665577942351154,0.08676338672071118,0.04989239270280035
nondiag_cholesky,9102,acf_x_lag1,0.9900322482435734,0.9861632492017767,0.003868999041796717
nondiag_cholesky,9102,mean_y,0.006370815593335766,0.2482911930877824,0.24192037749444664
nondiag_cholesky,9102,var_y,0.07480581109600103,0.04265919571503513,0.032146615380965894
nondiag_cholesky,9102,cov_xy,0.005673400904277823,0.011744947891388998,0.006071546987111175
nondiag_cholesky,9102,acf_y_lag1,0.9884936763820568,0.9786062560884471,0.009887420293609672
nondiag_cholesky,9102,crosscorr_lag1,0.056247605211539715,0.18729201480043522,0.13104440958889552
heston_logsv,9102,mean_x,0.18699664524822862,-0.06801520123233336,0.25501184648056197
heston_logsv,9102,var_x,0.1785564611719595,0.02013124963255486,0.15842521153940464
heston_logsv,9102,acf_x_lag1,0.9991802213543672,0.9929570059943711,0.006223215359996148
heston_logsv,9102,mean_y,0.039011401016871936,0.0751914583450462,0.03618005732817427
heston_logsv,9102,var_y,0.0008184842682201774,0.0009080942567674424,8.960998854726503e-05
heston_logsv,9102,cov_xy,-0.002666457991452003,-0.0026195361745714038,4.6921816880599303e-05
heston_logsv,9102,acf_y_lag1,0.9913521200158415,0.9823286807113604,0.009023439304481129
heston_logsv,9102,crosscorr_lag1,-0.2182124375213984,-0.6068926861039625,0.3886802485825641
indep_ou,9103,mean_x,-0.07777470874044673,-0.6300138421697608,0.552239133429314
indep_ou,9103,var_x,0.4657130062441733,0.25361022280472323,0.21210278343945005
indep_ou,9103,acf_x_lag1,0.9888455800776058,0.9805661275351636,0.008279452542442223
indep_ou,9103,mean_y,-0.007287503657386677,0.08606025286250416,0.09334775651989083
indep_ou,9103,var_y,0.12176257943173673,0.05618296413129469,0.06557961530044204
indep_ou,9103,cov_xy,-0.007157432440862759,0.02224544921620687,0.029402881657069627
indep_ou,9103,acf_y_lag1,0.9796178173517258,0.9553166341730192,0.024301183178706665
indep_ou,9103,crosscorr_lag1,-0.030351381056867122,0.19707852253841432,0.22742990359528145
correlated_ou,9103,mean_x,0.07920734032430855,0.5213047117679254,0.4420973714436168
correlated_ou,9103,var_x,0.45464180340830895,0.25902894033511586,0.1956128630731931
correlated_ou,9103,acf_x_lag1,0.9885382799412404,0.9802839239843211,0.008254355956919368
correlated_ou,9103,mean_y,-0.02615419606738325,-0.3715217287832366,0.34536753271585335
correlated_ou,9103,var_y,0.21023870047129273,0.09912907136327033,0.1111096291080224
correlated_ou,9103,cov_xy,-0.18163597238345233,-0.11339106757159678,0.06824490481185555
correlated_ou,9103,acf_y_lag1,0.9844772761815681,0.9699112263394151,0.01456604984215304
correlated_ou,9103,crosscorr_lag1,-0.5782219455606089,-0.6820582749510953,0.10383632939048637
rotational_ou,9103,mean_x,0.023988688927582606,0.40969876776258374,0.38571007883500114
rotational_ou,9103,var_x,0.46874655642622287,0.49341602441127264,0.024669467985049764
rotational_ou,9103,acf_x_lag1,0.9887330701255733,0.9901186185331718,0.0013855484075985247
rotational_ou,9103,mean_y,-0.025755704459241913,0.20094598723801743,0.22670169169725934
rotational_ou,9103,var_y,0.4731606829855354,0.40074793359130784,0.07241274939422754
rotational_ou,9103,cov_xy,-0.0024030887514909145,0.011406646883829844,0.013809735635320758
rotational_ou,9103,acf_y_lag1,0.9886395876746082,0.9877452505468153,0.0008943371277929657
rotational_ou,9103,crosscorr_lag1,0.014742917578856742,0.05246613578982376,0.03772321821096702
coupled_ou,9103,mean_x,-0.11247539819742658,-0.9793643333946456,0.866888935197219
coupled_ou,9103,var_x,0.6355892877430861,0.18751632121257025,0.44807296653051587
coupled_ou,9103,acf_x_lag1,0.9918431395376985,0.9733879243041811,0.018455215233517452
coupled_ou,9103,mean_y,-0.13102394188844088,-0.8920593315075674,0.7610353896191265
